,symbol,exchangeShortName,type
0,CMCSA,NASDAQ,stock
1,KMI,NYSE,stock
2,INTC,NASDAQ,stock
3,MU,NASDAQ,stock
4,GE,NYSE,stock
5,BAC,NYSE,stock
6,AAPL,NASDAQ,stock
7,MSFT,NASDAQ,stock
8,SIRI,NASDAQ,stock
9,HPQ,NYSE,stock
10,CX,NYSE,stock
11,CZR,NASDAQ,stock
12,F,NYSE,stock
13,AMD,NASDAQ,stock
14,SNAP,NYSE,stock
15,FB,NASDAQ,stock
16,WFC,NYSE,stock
17,AIG,NYSE,stock
18,T,NYSE,stock
19,C,NYSE,stock
20,VALE,NYSE,stock
21,MS,NYSE,stock
22,JPM,NYSE,stock
23,ORCL,NYSE,stock
24,NKE,NYSE,stock
25,PG,NYSE,stock
26,GSM,NASDAQ,stock
27,BBD,NYSE,stock
28,PFE,NYSE,stock
29,JD,NASDAQ,stock
30,NOK,NYSE,stock
31,TWTR,NYSE,stock
32,AVGO,NASDAQ,stock
33,AMAT,NASDAQ,stock
34,ZNGA,NASDAQ,stock
35,XOM,NYSE,stock
36,QCOM,NASDAQ,stock
37,VIPS,NYSE,stock
38,CSCO,NASDAQ,stock
39,AXP,NYSE,stock
40,BMY,NYSE,stock
41,V,NYSE,stock
42,GRPN,NASDAQ,stock
43,GERN,NASDAQ,stock
44,KEY,NYSE,stock
45,RF,NYSE,stock
46,KR,NYSE,stock
47,HAL,NYSE,stock
48,BABA,NYSE,stock
49,MRO,NYSE,stock
50,GILD,NASDAQ,stock
51,GM,NYSE,stock
52,FCX,NYSE,stock
53,CRM,NYSE,stock
54,ATVI,NASDAQ,stock
55,SQ,NYSE,stock
56,NUE,NYSE,stock
57,SWN,NYSE,stock
58,LOW,NYSE,stock
59,RAD,NYSE,stock
60,VEON,NASDAQ,stock
61,SLB,NYSE,stock
62,FLEX,NASDAQ,stock
63,FOXA,NASDAQ,stock
64,ABBV,NYSE,stock
65,GIS,NYSE,stock
66,VZ,NYSE,stock
67,XRX,NYSE,stock
68,CVLT,NASDAQ,stock
69,X,NYSE,stock
70,MAT,NASDAQ,stock
71,DVN,NYSE,stock
72,IBN,NYSE,stock
73,MPC,NYSE,stock
74,PM,NYSE,stock
75,MSCI,NYSE,stock
76,RDN,NYSE,stock
77,KO,NYSE,stock
78,COP,NYSE,stock
79,CHK,NYSE,stock
80,DIS,NYSE,stock
81,LEN,NYSE,stock
82,CVX,NYSE,stock
83,PYPL,NASDAQ,stock
84,AUY,NYSE,stock
85,WMT,NYSE,stock
86,CLF,NYSE,stock
87,MRK,NYSE,stock
88,MDLZ,NASDAQ,stock
89,MGM,NYSE,stock
90,GFI,NYSE,stock
91,KGC,NYSE,stock
92,SCHW,NYSE,stock
93,NBR,NYSE,stock
94,NVDA,NASDAQ,stock
95,JNJ,NYSE,stock
96,WDC,NASDAQ,stock
97,BSX,NYSE,stock
98,ON,NASDAQ,stock
